[MALE] was at the county fair .|||he saw a clown there and it scared him so much that he ran away .
[FEMALE] was at the mall .|||she was walking to the food court when she saw a man who looked lost . she went up to him and asked if he needed help . the man told her he was looking for his wife and daughter . [FEMALE] took him to the food court and pointed them out to him .
[MALE] wanted to give a speech to his entire company .|||[MALE] rehearsed his speech multiple times . but no matter how many times he practiced , he was always very nervous when he had to give the speech . on the day of the speech , he woke up with a stomachache .
ken planned a picnic date .|||ken planned a picnic date for him and his girlfriend at the park . the day of the picnic , it rained . ken decided to move the picnic indoors to his house . his girlfriend was not happy about this because she wanted to be outdoors .
[FEMALE] had been at her first office job for about a year .|||[FEMALE] had been at her first office job for about a year when one of her colleagues , [MALE] , asked her out for drinks after work . [FEMALE] was hesitant at first , but she eventually agreed . they went to a nearby bar and had a few beers . by the end of the night , they were kissing .
[MALE] had a long day at work .|||[MALE] was exhausted when he got home from work . he wanted to relax and watch tv . [FEMALE] wanted to talk . [MALE] told her he needed some time to himself and she should come back later .
[MALE] agreed to meet up with a girl he 's been dating online .|||[MALE] agreed to meet up with a girl he 's been dating online . he was a little worried , but he knew he had to do it . when he got to the coffee shop , he saw her sitting at a table . he walked over and sat down .
[MALE] raised a dozen chickens on his property .|||one day , one of the chickens got out of the coop and started roaming around the property . [MALE] chased the chicken all around , but he could n't catch it . the chicken led [MALE] on a wild goose chase around the property until it finally got tired and [MALE] was able to catch it .
[MALE] was walking home one day .|||he was walking home one day when he saw a man on the ground with a knife in his back .
[MALE] was sick .|||[MALE] was sick and stayed in bed all day . he watched a lot of tv and ate a lot of junk food . his mom brought him some soup but he refused to eat it .
[FEMALE] was out with her husband at a fast food joint .|||[FEMALE] saw a mosquito and asked her husband to kill it . he said he could n't because he was eating . she killed it and said that she was better at it anyways .
[MALE] was always late for work .|||[MALE] always woke up late and then had to rush to get ready . one day , his boss called and told him that he was fired because he was always late . [MALE] was devastated .
[FEMALE] was on birth control .|||she decided to stop taking it because she wanted to get pregnant . she found out she was pregnant a few weeks later .
[FEMALE] works very hard for her money .|||[FEMALE] works very hard for her money . she does n't want to move to a new house because she does n't want to spend the money on a new house when she could be saving it . [FEMALE] agrees to look at new houses with [MALE] , but she does n't see any that she likes . [FEMALE] refuses to move to a new house with [MALE] .
i ran to the bathroom with my new pajamas .|||i sat on the toilet and realized that i had to go number two . i knew that i could n't go in my pajamas so i put them back on and ran back to my room . i was so embarrassed .
[MALE] applies for his dream job at a music company .|||[MALE] is overjoyed when he gets the call that he got the job . he is a little worried about how he will support his family on his new salary , but he is confident that he can make it work .
[MALE] was playing baseball at school .|||[MALE] hit the ball and started running . the first baseman was a girl . she threw the ball to the pitcher . the pitcher threw the ball to the catcher . the catcher threw the ball to the first baseman . the first baseman threw the ball to the shortstop . the shortstop threw the ball to the second baseman . the second baseman threw the ball to the first baseman . the first baseman threw the ball to the [MALE] .
[MALE] was waiting for his college acceptance letter .|||he had applied to a few schools but he was really hoping to get into his first choice . a few weeks went by and he still had n't heard anything . one day he got a call from the college . they told him that he had been accepted .
nani arrived at a local surf spot .|||she paddled out to the break and waited for a wave the set rolled in and she got into position she felt the wave pick her up and carry her towards the shore .
[MALE] had a cat .|||[MALE] 's cat , feline , loved to lay in the sun . one day , feline was lying in the sunbeam coming in through the window . the sunbeam moved and feline got up to follow it . she stepped on a hot coal that was left on the floor from the fire the night before and she died .
[MALE] was a college student .|||[MALE] was a college student who was trying to figure out what he wanted to do with his life . he had a lot of interests , but he was n't sure which one to focus on . one day , he decided to talk to his professor about his dilemma .
[FEMALE] son decided he wanted to give his teachers a special gift .|||[FEMALE] son decided he wanted to give his teachers a special gift for valentine 's day . he made them all cards and put candy in each one . he was really happy with how they turned out .
[MALE] was afraid of the darkness .|||[MALE] was afraid of the darkness . he would always have to have a light on when he slept . one night , he was trying to sleep , but he could n't because it was too dark . he started to panic because he was so afraid . then , he heard a noise . he thought it was a monster . he started to scream , but then he realized it was just his dog .
[FEMALE] paid a professional to find one for her .|||the professional found one for her and she was very excited . however , when she told her family , they all refused to move . they said that they liked their current house and did n't want to move . [FEMALE] was very upset and did n't know what to do .
i had not been to a gym in 8 years .|||i had n't been to a gym in eight years , but i was determined to start going again . i found a great one near my house and started going every day . after a few weeks , i began to see results and i was really happy with my progress .
[NEUTRAL] was always a fan of webcomics .|||he would read them when he was bored in class or when he was waiting for his friends . one day , he decided to start making his own . he was n't very good at first but he kept practicing and now he 's one of the best webcomic artists on the internet .
[MALE] took his dog for a walk every morning .|||[MALE] took his dog for a walk every morning . the weather was getting colder , so [MALE] bought his dog a coat . his dog loved the coat , and the walks became much more fun .
[MALE] hated going to weddings .|||[MALE] always felt out of place at weddings . he did n't have anyone to talk to and he did n't know what to do with his hands . he always felt like he was the only one who was uncomfortable .
i wanted to buy headphones .|||i wanted to buy headphones , but i was n't sure if i should get wireless or wired ones . i asked my friend for advice , and she told me that she always goes for wireless ones because she likes to be able to move around without having to worry about getting tangled up in cords .
[FEMALE] felt sick the morning of the big star test .|||she tried to do some practice problems but she could n't focus . she decided to go to school and take the test . she was feeling better by the time the test started but she knew she did n't do well .
[FEMALE] sister in law came by to visit yesterday .|||[FEMALE] sister in law came by to visit yesterday . she said she was in the neighborhood and thought she 'd stop by . we were really glad to see her . she 's been really busy with work and we do n't get to see her as often as we 'd like .
[FEMALE] put some bleach on her hair to get some blond streaks .|||the bleach made her hair dry and brittle . she had to cut it all off and start over . she decided to go with a dark brown color this time around .
[MALE] had some food at a fast-food restaurant .|||the food was okay , but not great . he did n't like the fact that it was so greasy .
[MALE] woke up late yesterday .|||[MALE] rushed to get ready for work . he left in a hurry and forgot his lunch . his boss scolded him for being late and not having his lunch . [MALE] apologized and said he would make it up to his boss .
[MALE] had very bad teeth .|||he avoided smiling in photos and always covered his mouth when he laughed . one day , he saw an advert for dental braces and decided to get them . now his teeth are straight and he can smile without feeling self-conscious .
ken had an old pair of slippers .|||ken had an old pair of slippers that he never used . he kept them in his closet for when his feet got cold . one day , he went to wear them and they were gone . he looked all over his house for them , but he could n't find them . he finally asked his mom where they were , and she told him she had given them away to charity .
[MALE] was going to the beach .|||[MALE] was packing his car for the beach when he remembered that he forgot his sunscreen . he ran back into the house to get it , but when he got to the car , he realized that he had locked the door . he had the key in his pocket , but he was too far away to unlock it .
a young woman named [NEUTRAL] was over 9 months pregnant .|||she was anxious to meet her baby , but she was also nervous about the delivery . she had heard horror stories from her friends about how painful it was to give birth . she read all the books she could find on the subject , but she still was n't sure what to expect .
ken was in a bowling league with friends .|||ken 's team was doing poorly . they had not won a game all season . ken 's friend suggested he try a different sport . ken loved to play video games and his friend suggested he try e-sports . ken agreed and his team went on to win the league championship .
[FEMALE] wanted blonde hair .|||she loved the way it looked on other people but she was afraid it would look bad on her . she decided to get a consultation with a hair stylist . the stylist told her that it would be a lot of work to get her hair to that color and she would have to get it done every four weeks .
[FEMALE] had just won the state pageant .|||[FEMALE] had just won the state pageant when she received a call from the national pageant director . she was asked to compete in the national pageant . [FEMALE] declined the offer , because she did not want to leave her family .
[MALE] was going to the new restaurant with his coworkers for lunch .|||[MALE] was really looking forward to trying the food there . but when he got to the restaurant , he found out that it was closed for lunch .
[FEMALE] one day decided to visit germany .|||she had always been interested in the country and its culture . she was fascinated by the way the people interacted and the way the government ran . she was especially interested in the economic system .
i work in a large retail store that sells groceries .|||as a cashier , my job is to scan the items that the customer is buying and to charge them for those items . i also help the customer find what they are looking for , and bag their groceries when they are finished .
[MALE] had issues with his stomach .|||[MALE] tried every remedy he could think of but nothing worked . his wife [FEMALE] finally convinced him to go to the doctor . the doctor told [MALE] he had a stomach ulcer and he needed to take a break from work .
[MALE] was a very sweet dog .|||[MALE] was a very sweet dog . he loved his family and was always happy to see them . even though he was old , he never stopped wagging his tail and licking everyone 's faces .
[NEUTRAL] 's daughter loved legos .|||she would build for hours on end , never getting bored . her parents would often find her asleep with a tower of legos beside her , testament to her dedication to the craft .
[MALE] needed a new laptop computer .|||[MALE] went to the computer store and found the perfect laptop . he took it to the checkout counter but the cashier said it was too expensive . [MALE] told her he would pay for it with his credit card . she said she could not process the purchase because the card was not valid .
i woke up early in order to study .|||i woke up early in order to study for my upcoming biology test . i knew i had to get a good grade if i wanted to have a chance of getting into medical school . i sat down at my desk and started going over the material . i was reviewing the different organ systems when i heard my mom calling me for breakfast .
[FEMALE] decided to get fit .|||she started by going for a run every day after work . it was hard to get up at 5am , but she was determined . she wanted to be fit and healthy for her family .
aunt [FEMALE] had a peg leg .|||aunt [FEMALE] used to tell stories about the pirate life . she would say that she was the captain of her own ship and that she had a peg leg because she lost it in a sword fight .
today [MALE] went to the dog pound .|||to pick up his new dog [FEMALE] . when he got there , the first thing he saw was a big sign that said `` no black dogs '' . [MALE] was outraged and decided to take the dog anyway .
[NEUTRAL] was told not to talk to strangers .|||one day , when [NEUTRAL] was walking to school , a stranger started talking to him . [NEUTRAL] 's parents had always told him not to talk to strangers , so he ignored the man and kept walking .
[MALE] was sitting in his taxi waiting for a customer .|||a man walks up to the taxi and opens the door . `` where to ? '' asks the driver .
[NEUTRAL] built a treehouse with his dad .|||neutral 's dad helped him build the treehouse . it was a lot of work , but they had a lot of fun doing it . they finished it in a few days , and neutral was really proud of it . it was the best treehouse in the neighborhood .
[FEMALE] got a new cat .|||the new cat was a big grey cat . it was lazy and loved to sleep . [FEMALE] would often find it sleeping in the sunbeam that came through the window .
[FEMALE] got a new haircut .|||she really likes it but she is not sure if her husband will like it . she decides to show him the next time she sees him . when she does see him , he barely looks at her and says that he prefers her with longer hair .
[NEUTRAL] was in the middle of doing laundry .|||he heard a knock on the door . he put the clothes down and went to answer it . it was his neighbour [MALE] who asked if he could borrow a cup of sugar .
[MALE] was studying at his college library .|||[MALE] was studying at his college library when he saw a girl he liked . he walked up to her and started talking to her , but she did n't seem interested . [MALE] then got her number and asked her out on a date .
[MALE] was walking around his apartment at night .|||all of a sudden , he heard a noise . he slowly walked towards the kitchen , where the noise was coming from . there he found his cat , [MALE] , with a mouse in its mouth .
[NEUTRAL] woke up late one morning .|||she quickly got ready and ran out the door . she was so tired that she forgot her phone . she saw a police officer and asked him for directions to the bus stop .
[MALE] was in his living room , when he heard a noise .|||[MALE] slowly walked towards the noise , with his hand on his gun . he found a little girl crying on the floor . he picked her up and took her to his wife female .
cleaning out a deceased relative 's attic , [FEMALE] found an old gold watch .|||[FEMALE] cleaned the watch and it looked like it still worked . she went online to find the value of the watch and it was worth $ 1,500 . she called her siblings to tell them and they all said they wanted a piece of the money . [FEMALE] had to find a way to sell the watch without them knowing .
[MALE] wanted to join the army .|||[MALE] talked to his parents about it . they were not happy with the idea . [MALE] decided to join without their permission . his parents found out and were very angry .
[MALE] always left his clothes around the house .|||[MALE] 's wife [FEMALE] always complained about the clothes lying around . one day , she decided to take matters into her own hands . she gathered all of the clothes and put them in the garage . [MALE] came home and saw the clothes in the garage . he was very surprised .
[NEUTRAL] and [NEUTRAL] were best friends .|||one day , [NEUTRAL] asked [NEUTRAL] why he never talked about his family . [NEUTRAL] replied , `` my family is really boring . there 's nothing to talk about . '' .
on [FEMALE] my wife went food shopping .|||on my wife 's last food shopping trip , she picked up a few things for dinner . she bought some chicken breasts , a carton of eggs , and a pack of bacon . she also got a head of lettuce , a container of cherry tomatoes , and a bottle of dressing .
[MALE] was trying to bond with his father in law .|||[MALE] and his father in law were fishing . [MALE] wanted to bond with him by catching a big fish . father in law said it was a waste of time . [MALE] caught a fish anyway and they bonded over it .
[MALE] was doing a school project .|||[MALE] was doing a school project on the solar system . he was having trouble finding information online . he decided to go to the library to do some research .
tonight i played three games of speed chess online with my friend [MALE] .|||i was up two games to one , but i lost the last game . it was a really close match though .
[NEUTRAL] had been drinking all afternoon .|||he had been at the bar for a few hours . he had started drinking around lunchtime and now it was getting close to dinner time . he was feeling a little bit drunk but he wanted to drink more .
i was walking towards my college campus .|||as i walked , i saw a group of people standing around a large tree . when i got closer , i saw that a squirrel had gotten stuck in the tree . the group of people were trying to help the squirrel get down , but they were n't having much luck .
[MALE] get into an argument in class .|||[MALE] gets into an argument with his teacher in class . he does n't understand why he ca n't just get an a like everyone else in the class . the teacher tries to explain to [MALE] that he needs to put in more effort , but [MALE] does n't listen .
i had a best friend of close to ten years .|||ive known her since kindergarden and we bonded over our shared love of barney and our hatred of peas . but after a huge fight she stopped talking to me and deleting me from all social media . ive tried to apologize multiple times but she wont even respond to my texts .
[MALE] was playing around the house .|||[MALE] was playing around the house with his toy cars when his mom called him in for dinner . he put away his cars and went into the kitchen . his mom had already set the table and they sat down to eat .
[MALE] was hanging out with friends .|||[MALE] was hanging out with friends when he saw a girl he liked . he did n't know how to talk to girls , so he asked his friends for help . his friends gave him some tips , and he finally mustered up the courage to talk to her .
[FEMALE] was writing an essay by hand for class .|||[FEMALE] had to write her essay by hand for class . she found it very difficult to write neatly . she always ended up with cramped hands and uneven letters .
[FEMALE] did her laundry at the laundromat on [NEUTRAL] .|||she would usually go on tuesdays because that was when the laundromat was busiest and she could get done in the shortest amount of time . she always brought a book to read because she liked to people watch .
[MALE] ordered some items online .|||the items arrived a few days later . when he opened the package , he found that one of the items was missing . he contacted the company and they told him that they would send him a new one .
[MALE] is out with his friends at the bar .|||[MALE] : hey , do you want to go for another round ? friend : yeah , i can do that .
[MALE] was cutting a hole in his cabin .|||[MALE] had always wanted to live in the woods . he had just bought a cabin and was starting to make it his home . he was sawing a hole in the wall to make a window when he heard a noise outside .
little [MALE] was at the park with his mom .|||little [MALE] was at the park with his mom and he saw a big dog . the dog came over to him and started licking his face . little [MALE] was scared and he started crying . his mom came over and grabbed him and they left the park .
new neighbors moved in across the street .|||the new neighbors had just moved in across the street and everyone in the neighborhood was curious about them . even though they had only been there for a few days , the new neighbors had already made a lot of friends . they were always outside playing with the other kids on the street . everyone was excited when they found out that the new neighbors were going to have a fourth of july barbecue .
one evening while returning from home [FEMALE] see 's her house burning .|||[FEMALE] rushes in to get her kids but they are not there . she then tries to go back and get her pets but the smoke is too thick . she runs outside and collapses in front of her house .
at school , [MALE] 's friend asked her to skip fourth period with her .|||at school , [MALE] 's friend asked her to skip fourth period with her . [MALE] was hesitant , but ultimately decided to go . she was worried about getting in trouble , but her friend promised not to tell anyone .
[MALE] held [FEMALE] hostage and called the police .|||[MALE] held [FEMALE] hostage and called the police . he told them that he would kill her if they did n't do as he said . the police tried to negotiate with him , but he refused to let her go . finally , they were able to get her out safely and arrested [MALE] .
[MALE] was learning to skateboard .|||[MALE] was having a lot of trouble balancing on the skateboard . he would fall off every time he tried to ride it . his friends told him to go to the skatepark . [MALE] was hesitant at first but he decided to go . the skatepark was a lot of fun and he was able to improve his skills very quickly .
[MALE] was depressed .|||[MALE] wanted to move to a new house but his wife [FEMALE] did not want to move . [MALE] convinced her to look at a couple new houses but she did not see any that she liked . [FEMALE] refused to move .
[MALE] was on a first date .|||[MALE] and [FEMALE] were getting to know each other . they talked about their hobbies and interests . [FEMALE] asked [MALE] about his job . [MALE] told her that he was a civil engineer .
[MALE] was very competitive .|||[MALE] wanted to move to a new house but his wife [FEMALE] did not want to move . [MALE] convinced her to look at a couple new houses but she did not see any that she liked . [FEMALE] refused to move.[female] and her family were attending her grandpa 's funeral . [FEMALE] did not want to sit in the front row . she waited in the lobby till everyone was seated . she crept in and took a seat towards the back .
i lost my job last winter .|||i was out of work for almost six months . it was really tough trying to make ends meet . finally , i got a new job but it does n't pay as well as my old one .
[MALE] is a troubled kid .|||[MALE] was a troubled kid . he was always getting into fights with other kids at school . his parents did n't know what to do with him . one day , they decided to send him to a counselor . the counselor was able to help [MALE] get his anger under control .
[MALE] lost his debit card .|||he cancelled it and got a new one . he never used the old one again .
[NEUTRAL] had free tickets to the casino buffet .|||[NEUTRAL] was so excited to go to the casino buffet . he had heard that it was the best in town . when he got there , he found out that it was closed for a private party .
[FEMALE] went with her friends to a haunted house amusement .|||the group walked around the haunted house and screamed when they saw the actors jumping out . [FEMALE] thought it was funny that her friends were so easily scared and she was n't .
[MALE] just got hired at a new job .|||[MALE] is nervous about meeting his new boss . he has heard that she can be tough . [MALE] rehearses what he is going to say in his head . he hopes that he makes a good impression .
[FEMALE] was a substitute teacher .|||one day , [FEMALE] got a call from the school office . they said that the regular teacher for that class was out sick , and could she please come in to teach ? [FEMALE] said yes , and she had a great time . the kids were really well-behaved , and she got to know them a little bit .
[NEUTRAL] had very crooked teeth .|||his parents could not afford to get them fixed so he lived with them his whole life . when he turned eighteen , he found a job and saved up money to get braces . it took him two years but he was finally able to fix his teeth .
[MALE] was heating up food for lunch .|||[MALE] was heating up food for lunch on the stovetop . he heard a loud crash , and when he turned around , he saw that the pot of food had fallen off the stove and was now on the floor .
[FEMALE] was invited by her boyfriend to his house .|||[FEMALE] was invited by her boyfriend to his house . [FEMALE] was excited because she had never been to his house before . when she got there , she saw that his house was actually a cabin in the woods . [FEMALE] was surprised , but she liked it .
the teacher mentioned to the class that some his stuff was stolen .|||the thief had stolen his laptop and his phone . he was really upset because he needed both for his school work . he reported it to the police but they never found the thief .
[FEMALE] was eating lunch at school .|||a boy came up to her and asked her to go out with him . she said no and he called her a stuck up b * * * * .
[MALE] had nightmares again .|||[MALE] wakes up in a cold sweat . he remembers the nightmares from when he was younger . he has been having them more often recently . he does not know why they are coming back now .
[FEMALE] bought a new pair of jeans .|||[FEMALE] put them on and they were too tight . she tried to unbutton them but they were stuck . she started to feel lightheaded and panicky . she called her best friend [FEMALE] for help .
it was snowing outside [MALE] 's house one day .|||he wanted to go outside and play in the snow but his mom said no . she said he had to stay in and do his homework . he was very upset because he loved playing in the snow .
[MALE] invited his friend to a party .|||[MALE] 's friend [FEMALE] declined the invitation . she said she was too busy . [MALE] told her he would save her a seat and she could come by later .
i got a [MALE] 's coupon for my birthday .|||i was really excited to use it . i went to the [MALE] website and picked out the dress i wanted . i was so happy when it arrived . the color was perfect and it fit me like a glove .
[FEMALE] was on her last date from her deleted profile .|||she had messaged [MALE] a few times , but he had yet to respond . they had agreed to meet at a coffee shop downtown . [MALE] was running late , as usual . [FEMALE] was sitting at a table by the window , sipping on her latte and checking her phone .
i could n't understand what the teacher was talking about .|||i could n't understand what the teacher was talking about . she was speaking too fast and i could n't hear her over the other students . she called on me and i just said `` i 'm sorry , what ? '' .
i like to sit and contemplate life .|||sitting on the bench , i like to watch people as they pass by . some are in a hurry , others are taking their time . i wonder what they 're all doing and where they 're going . it 's interesting to see the different lives people lead and the different paths they take . sometimes i think about what my life would be like if i took a different path . but then i remind myself that everything happens for a reason and that the path i 'm on is the right one for .
[MALE] went fishing .|||[MALE] and his friends went fishing on the river near his house . he was using his grandfather 's old fishing rod . the others were using new rods that they had bought . [MALE] was using the same bait that his grandfather had used .
[NEUTRAL] thought ducks were the cutest of all animals .|||one day , [NEUTRAL] saw a duck swimming in a nearby pond and he thought it was the cutest animal he had ever seen . he loved the way they waddled around and their soft feathers . he always enjoyed watching them swim around .
[NEUTRAL] wants to be an actress .|||she has always loved the idea of being an actress , but [NEUTRAL] was never sure if she had the talent . one day , she decided to take a chance and sign up for an acting class . she loved it and has been doing it ever since .
[MALE] has a crush on a girl from work .|||[MALE] is hesitant to ask her out because he is afraid of rejection . he decides to ask her out for coffee . she says yes and they start dating .
[FEMALE] lost her gold anklet in gym class .|||she was really upset because it was a gift from her grandma . she asked the teacher if she could go look for it but the teacher said no . [FEMALE] went to the bathroom and cried for a while . then she got up the courage to ask one of her friends to help her look for it .
[NEUTRAL] has a neighbor with a mean dog .|||[NEUTRAL] always has to worry about the dog getting out and attacking him . one day , the dog got out and [NEUTRAL] was trying to get into his house . the dog attacked him and [NEUTRAL] had to go to the hospital .
the request from my son 's friend led to a picture conversation .|||after a few minutes of deliberation , i responded with a picture of a house that i liked with the message , `` this is the one i want . '' my wife was not convinced and wanted to see a few more houses . we looked at a few more , but she did not see any that she liked better than the one i wanted . she refused to move , but i convinced her to at least look at the house one more time . we went back , and i pointed out all of .
i woke up at 6am this morning .|||i was planning on going for a run but the weather was so bad . i decided to just stay in bed and watch tv instead .
i decided to clean out all the closets .|||as i was cleaning out the closets , i found a lot of old clothes that i had forgotten about . i also found a lot of things that i no longer wanted or needed .
[MALE] was a poor man .|||[MALE] was a poor man . he worked hard but he could never seem to save enough money . one day , he came up with a plan . he would move to a new house . his wife [FEMALE] did not want to move . she liked their house and their neighborhood . [MALE] convinced her to look at a couple new houses . she did not see any that she liked . [FEMALE] refused to move . [MALE] was getting frustrated . he did not know what to do .
[NEUTRAL] had a huge tree in his yard .|||[NEUTRAL] loved the tree because it gave him shade in the summer and a place to hang his hammock in the fall . one day , he woke up to find that the tree was gone .
chess hustlers used to play for money in [MALE] square .|||chess hustlers used to play for money in [MALE] square . some were quite talented , but many would lose games on purpose in order to swindle money from unsuspecting passers-by . this all came to an end , however , when the police cracked down on the illicit gambling and arrested many of the hustlers .
[FEMALE] was recently divorced .|||[FEMALE] was recently divorced and was feeling a little down . she was n't sure what to do with herself , so she decided to go out with some friends . she had a great time and was feeling better , but she still missed her ex-husband .
[FEMALE] is a 5 year old girl .|||she was walking to school with her brother when a dog ran up to her . she was scared at first but the dog was friendly and just wanted to play .
[MALE] wanted job security .|||[MALE] applied for jobs at a number of different companies but was only offered positions as a contractor . he was not interested in that type of work because it was not permanent . he kept looking and finally found a job that he liked but it was with a small company and the contract was only for a year .
we went to [FEMALE] on a vacation .|||we went to [FEMALE] on a vacation . it was a beautiful country with stunning scenery . we went on hikes and saw waterfalls and lakes . the people were friendly and the food was amazing . we even went white water rafting and had a blast .
[FEMALE] need to get something from the store .|||[FEMALE] walks to the store . she gets what she needs and walks back home .
[MALE] was always late for work .|||[MALE] always woke up late and then had to rush to get ready . one day , his boss called and told him that he was fired because he was always late . [MALE] was devastated .
our chickens lay eggs .|||our chickens lay eggs every day , and sometimes twice a day . the eggs are all different colors , depending on the chicken . i always wonder what the eggs will be like when i crack them open .
at night [NEUTRAL] likes story time .|||[NEUTRAL] likes to listen to bedtime stories at night . he usually has his partner or a family member read to him , but sometimes he 'll listen to audio books . he finds it very calming and relaxing .
[FEMALE] was trying to find a accessory for [FEMALE] .|||she wanted something that would make a statement . she found a bracelet that she fell in love with but it was very expensive . she decided to buy it .
[NEUTRAL] wanted to buy a new videogame .|||he went to the store and saw the new call of duty game . he wanted to buy it but he did not have enough money . he went home and asked his mom for money . she said no because he just bought a game last week . [NEUTRAL] was angry and did not want to ask his dad .
[FEMALE] just got a new job as a high school teacher .|||[FEMALE] is excited to start her new job . she is a little nervous about how she will be able to handle a classroom of students . she has always been good with kids and she knows that she will be able to do well .
[FEMALE] 's mom knew that learning to cook was an important skill .|||[FEMALE] 's mom knew that learning to cook was an important skill , so she taught her how to make a few simple dishes . she also showed her how to grocery shop , so she could make her own meals . [FEMALE] was grateful to her mom for teaching her these important life skills .
i went online searching for the mickey doll i had found .|||in the back of my closet , under a pile of clothes , i found the mickey doll . he was dusty and had a few wrinkles , but he was in good condition . i was so happy to find him again ! .
it was a hot summer night .|||the insects were out in full force , and the only relief from the oppressive heat was the slight breeze that intermittently stirred the air . the streetlights illuminated the bugs as they flew around , and they looked like tiny sparks of light .
[MALE] had been getting really bad headaches lately .|||[MALE] went to the doctor and found out that he had a tumor on his brain . the tumor was removed and he made a full recovery .
there was a noise outside .|||sarah got up to see what was happening . she saw a raccoon in the trashcan . she was scared so she woke up her husband jason . jason got a broom and chased the raccoon away .
[MALE] was sleeping at his cousin 's house .|||he was sleeping on the couch when he heard a loud noise . he woke up and saw that the house was on fire . he ran outside and called the fire department .
[FEMALE] saw a cat while walking home .|||[FEMALE] decided to take it home . she named it snowball and started feeding it . she quickly realized that she was feeding it too much and that it was getting too big . she asked her friends for help and they gave her some tips on how to take care of a cat .
[FEMALE] baked a cake for her boyfriend 's birthday .|||she put all of the ingredients in a bowl and mixed them together . she put the batter in the oven and waited for it to bake . she took the cake out of the oven and put frosting on top .
[MALE] was in a parking lot .|||[MALE] was in a parking lot , waiting for his wife to come out of the store . he was getting impatient , as she had been in there for a while . suddenly , he saw her walking towards him , a big smile on her face . he could n't help but smile back .
[MALE] visited the local carnival .|||[MALE] was having a great time at the carnival . he went on all the rides and played all the games . the only thing he did n't do was win any prizes . at the end of the day , he had a lot of tickets but no prizes to show for it .
the vet asked me to copy a form for her while i was there .|||ive never done that before so i was a little unsure of what to do . i copied the form and handed it back to her . she said thank you and gave me a smile .
[MALE] sold fake watches on the street .|||[MALE] was never caught . he was careful to make sure that the watches looked real and that he always changed his location . one day , a police officer caught him red-handed . [MALE] was arrested and put in jail .
[FEMALE] wanted to learn how to cook .|||[FEMALE] was n't very confident in the kitchen . she did n't know where to start . she found a cooking course that suited her . she learnt how to cook a variety of dishes . now she loves cooking for her family and friends .
[MALE] was on a singles cruise .|||[MALE] was on a singles cruise and he was having the time of his life . he was out on the dance floor every night and he had already made some friends . he was especially excited for the next stop on the cruise , because it was a party island and he knew that he would have a blast .
[FEMALE] had a small tin for garbage in her room near her desk .|||she would put the waste from her desk in the tin . every few days she would take the garbage outside and put it in the trash can .
ken placed his skating shoes on his foot .|||ken placed his skating shoes on his feet and laced them up . he felt the cold metal of the skate blade against his skin . he took a deep breath and stepped out onto the ice .
[MALE] was running late for work .|||[MALE] quickly got ready and rushed out the door . on his way to work , he realized he had left his phone at home . he turned around and went back to get it .
i was in gym class one day in seventh grade .|||a girl in my class , kelly , was talking on her phone . the teacher , mr. k , told her to put it away , but she did n't listen . he came over to her and took it away , and she started to cry .
the man rubbed his eye .|||the man rubbed his eye with his hand . the sensation was soothing and he closed his eyes for a few seconds . when he opened them again , the woman was gone .
[MALE] traveled to korea .|||[MALE] traveled to korea to study their approach to business . he found their methods to be interesting and efficient .
i stepped up to the plate in my first baseball game .|||my heart was racing as the pitcher started his wind up . the ball came hurtling towards me and i swung . the sound of the bat hitting the ball was music to my ears .
i was never taught about being financial responsible .|||my parents always told me to save my money . but they never sat me down and talked to me about how to be financially responsible . i think that would have been really helpful .
stormy was named after the weather .|||stormy 's mother always loved the weather . she loved how it could be so calm and peaceful one moment and then be so wild and out of control the next . she named her daughter after a storm and hoped that she would always be as changeable as the weather .
the woman turned up the heater .|||the woman turned up the heater , but it made no difference . the cold crept in through the windows and doors , seeping into her bones . she wrapped her shawl around her shoulders and tried to sleep , but the frigid air kept her awake .
[MALE] had always wanted to learn how to make caramel .|||[MALE] looked online for a caramel recipe . he found one that looked easy enough . he gathered all the ingredients and got to work . the results were delicious and he was so proud of himself .
[MALE] was at a park with his friends late at night .|||[MALE] and his friends were sitting on a bench in the park , talking and joking around . they were having a good time until they heard a loud noise coming from the bushes . they all got scared and ran away .
[MALE] was working on a speech for the upcoming school elections .|||he wanted to make sure that it was perfect . he spent hours going over it but he was still not happy with it . he decided to call his friend [MALE] for help . [MALE] gave him some great advice and he was able to finish it .
[MALE] bought land out in the country .|||[MALE] was looking to get away from the city life . he wanted to move to a place where he could breathe . the only thing he needed was a house to call his own .
[FEMALE] daughter and her husband are renting a house in queens .|||[FEMALE] is happy that her daughter and her husband are able to rent a house in queens . she knows that it is a lot harder to find a place to live in the city , and she is glad that they were able to find something that works for them .
[NEUTRAL] , [NEUTRAL] 's horse broke through his fence .|||neighbors heard the horse galloping and came to see what was happening . they saw [NEUTRAL] trying to catch his horse and they helped him get the horse back in the fence .
[FEMALE] was dumped recently .|||[FEMALE] is feeling down since she was dumped by her boyfriend of two years . she 's not sure what to do with herself now that she has so much free time . she 's thinking of getting a pet to keep her company , but she 's not sure if that 's the right decision .
[MALE] 's cat had a skin disorder .|||[MALE] took the cat to the vet . the vet said the cat needed to eat a special diet . the cat would not eat the special diet . [MALE] had to feed the cat by hand .
